Orca - The Orcish female Warrior
================================

Orc:
+1 STR
+1 DEX
-1 INT
-1 PTY

Stat Progression:
 2 CON
 3 DEX
 4 PTY
 5 INT
 6 STR
 7 CON
 8 STR
 9 DEX
10 PTY
11 STR

Level Progression:
	STR	DEX	CON	INT	PTY	HP	MP
 0:	15	17	4	3	15
 1:	16	18	4	2	14		2
 2:	16	18	5	2	14		3
 3:	16	19	5	2	14		4
 4:	16	19	5	2	15	43	5
 5:	16	19	5	3	15	50	6
 6:	17	19	5	3	15		7
 7:	17	19	6	3	15		8
 8:	18	19	6	3	15		9
 9:	18	20	6	3	15		10
10:	18	20	6	3	16		11
11:	19	20	6	3	16		12

12:	19	20	7	3	16		13
13:	19	21	7	3	16		14
14:	19	21	7	3	17		15

15:	19	21	7	4	17		16
16:	20	21	7	4	17		17
17:	20	21	8	4	17		18
18:	21	21	8	4	17		19
